Tipo,basico/0/value,basico/1/label,basico/1/value,contacto/0/label,contacto/0/value,contacto/1/label,contacto/1/value,contacto/2/label,contacto/2/value,contacto/3/label,contacto/3/value,contacto/4/label,contacto/4/value,tipo
Estación,Estación De Policía Usaquen,CAI,CAI Contador,Número,626 4494,Correo,mebog.cai-contador@policia.gov.co,Dirección,Carrera 19 # 136-31,lat,472027777800,long,-7404666667000,cai
Estación,Estación De Policía Usaquen,CAI,CAI Navarra,Número,619 3227,Correo,mebog.cai-navarra@policia.gov.co,Dirección,Autopista Norte # 108-96,lat,469555555600,long,-7405527778000,cai
Estación,Estación De Policía Usaquen,CAI,CAI Villa Nidia,Número,672 2797,Correo,mebog.cai-villanidia@olicia.gov.co,Dirección,Calle 163 # 6A-25,lat,473777777800,long,-7402250000000,cai
Estación,Estación De Policía Usaquen,CAI,CAI Toberin,Número,678 9988,Correo,mebog.cai-toberin@policia.gov.co,Dirección,Calle 164 # 16C-00,lat,474361127000,long,-7403955740000,cai
Estación,Estación De Policía Usaquen,CAI,CAI Unicentro,Número,619 6639,Correo,mebog.cai-unicentro@policia.gov.co,Dirección,Calle 122 # 20-15,lat,470083333300,long,-7404250000000,cai
Estación,Estación De Policía Usaquen,CAI,CAI Verbenal,Número,304 369 0980,Correo,mebog.cai-verbenal@policia.gov.co,Dirección,Calle 187 # 19-00,lat,476444444400,long,-7404027778000,cai
Estación,Estación De Policía Usaquen,CAI,CAI Codito,Número,671 8230,Correo,mebog.cai-codito@policia.gov.co,Dirección,Carrera 4 # 187A Bis,lat,476389845000,long,-7402405400000,cai
Estación,Estación De Policía Usaquen,CAI,CAI Lisboa,Número,274 7918,Correo,mebog.cai-lisboa@policia.gov.co,Dirección,Carrera 7 # 130-00,lat,470833333300,long,-7402861111000,cai
Estación,Estación De Policía Usaquen,CAI,CAI Santa Barbara,Número,6290897,Correo,mebog.cai-santabarbara@policia.gov.co,Dirección,Carrera 6 con Calle 116,lat,469305555600,long,-7403111111000,cai
Estación,Estación De Policía Chapinero,CAI,CAI Chile,Número,211 8355,Correo,mebog.cai-chile@policia.gov.co,Dirección,Calle 72 # 7-00,lat,465588932000,long,-7405689452000,cai
Estación,Estación De Policía Chapinero,CAI,CAI El Virrey,Número,318 400 1757,Correo,mebog.cai-virre@policia.gov.co,Dirección,Carrera 15 # 88-00,lat,467305555600,long,-7405388889000,cai
Estación,Estación De Policía Chapinero,CAI,CAI Estadero,Número,357 2606,Correo,mebog.cai-estadero@policia.gov.co,Dirección,Carrera 11 # 87-00,lat,467027777800,long,-7404972222000,cai
