Nº Estación,Nombre,Dirección,Teléfono,Horario
E-1,Usaquen,Cll. 165 Nº 19 - 85,6710150,24 Horas Atención a la Ciudadanía
E-2,Chapinero,Cra. 2 #55-4 Bogotá,2481373,24 Horas Atención a la Ciudadanía
E-3,Santa Fe,Cra. 5Nº 29 - 56,,24 Horas Atención a la Ciudadanía
E-4,San Cristobal,Cra. 5 Este #Av 1º de Mayo Bogotá,3282000,24 Horas Atención a la Ciudadanía
E-5,Usme,Cl 96A Sur #0-2 Bogotá,7623812,24 Horas Atención a la Ciudadanía
E-6,Tunjuelito,Cra. 29B #48C,7402284,24 Horas Atención a la Ciudadanía
E-7,Bosa,Cll. 75J Sur Nº 77N - 23,7750229,24 Horas Atención a la Ciudadanía
E-8,Kennedy,Cll. 41D Sur Nº 78N - 05,2642427,24 Horas Atención a la Ciudadanía
E-9,Fontibon,Cra. 98 Nº 16B - 50,2676758,24 Horas Atención a la Ciudadanía
E-10,Engativa,Cra. 78A Nº 70 - 54,4368492,24 Horas Atención a la Ciudadanía
E-11,Suba,Cra. 92 Nº 143 - 31,6850654,24 Horas Atención a la Ciudadanía
E-12,Barrios Unidos,Avenida Calle 72 # 62-81,2508196,24 Horas Atención a la Ciudadanía
E-13,Teusaquillo,Cra. 13 #39-86,2320964,24 Horas Atención a la Ciudadanía
E-14,Martires,Cra. 24 Nº 12 - 50,2378932,24 Horas Atención a la Ciudadanía
E-15,Antonio Narino,Cll. 19 Sur Nº 20 - 84,3617677,24 Horas Atención a la Ciudadanía
E-16,Puente Aranda,Cra. 39 Nº 10 - 75,7436064,24 Horas Atención a la Ciudadanía
E-17,Candelaria,Cra. 7 #6a-28,2806316,24 Horas Atención a la Ciudadanía
E-18,Rafael Uribe Uribe,Cll. 27 Sur Nº 24C - 51,2090080,24 Horas Atención a la Ciudadanía
E-19,Ciudad Bolivar,Cl. 62 Sur #18-2,7657117,24 Horas Atención a la Ciudadanía
E-21,Aeropuerto,Avda. Dorado 116 - 87,2662603,24 Horas Atención a la Ciudadanía
E-22,Terminal de Transporte,Diag. 22A Nº 68D - 90,4283804 Ext. 229-230,24 Horas Atención a la Ciudadanía
